1001		575	893		0.19
1002		1804	1103		-0.18
1003		1408	1127		0.15
1004		2216	1127		-0.46
1005		365	1139		0.36
1006		960	1159		21.40
1007		3370	1252		-5.53
1008		701	1258		4.86
1009		3684	1359		-1.10
1010		1520	1431		0.75
1011		1148	1451		4.95
1012		2452	1459		-0.51
1013		1996	1487		0.16
1014		551	1498		2.90
1015		2900	1563		-6.04
1016		3392	1575		-4.41
1017		893	1630		20034.24
1018		323	1714		1.50
1019		1748	1739		1.20
1020		2672	1827		0.21
1021		2236	1835		0.80
1022		1260	1859		6.79
1023		3020	1879		-11.81
1024		600	1883		8.69
1025		3376	1891		-3.22
1026		3656	1935		-0.87
1027		896	1947		14333.92
1028		1919	1954		1.61
1029		576	2135		10.66
1030		245	2146		2.19
1031		1624	2171		3.84
1032		1244	2195		12.93
1033		2036	2195		2.44
1034		3016	2207		23.50
1035		2400	2215		2.47
1036		2688	2215		3.49
1037		3328	2215		0.63
1038		3628	2231		-0.35
1039		920	2247		1411.28
