共有52个编码点:
编号:		 坐标:			十进制编码:
1		1872	286		623
2		3162	359		15343
3		1083	518		1855
4		3568	516		295
5		2449	687		14063
6		620	732		941
7		2951	743		14047
8		3416	793		8119
9		1756	843		1479
10		2619	918		429
11		3419	953		383
12		2770	1061		5943
13		411	1115		287
14		3086	1154		407
15		1247	1192		8191
1001		2108	1219		0
1002		2440	1251		0
1003		1752	1275		0
1004		3280	1335		0
1005		812	1363		0
1006		2880	1391		0
1007		2092	1503		0
1008		3612	1527		0
1009		1280	1531		0
1010		2544	1567		0
1011		492	1583		0
1012		3280	1615		0
1013		892	1655		0
1014		1736	1659		0
1015		2900	1691		0
1016		3396	1795		0
1017		3668	1851		0
1018		1152	1855		0
1019		2584	1855		0
1020		1464	1863		0
1021		2268	1863		0
1022		2028	1875		0
1023		668	1903		0
1024		281	1972		0
1025		908	1995		0
1026		2816	2003		0
1027		3220	2035		0
1028		1804	2047		0
1029		612	2107		0
1030		3572	2115		0
1031		2480	2123		0
1032		1484	2199		0
1033		2188	2199		0
1034		1124	2223		0
1035		263	2230		0
1036		2960	2247		0
1037		604	2271		0
