共有54个编码点:
编号:		 坐标:			十进制编码:
1		885	372		275
2		355	412		15343
3		3450	523		369
4		2646	601		355
5		1144	659		8063
6		3685	768		285
7		702	778		15855
8		1399	793		447
9		293	886		16255
10		3201	930		15871
11		705	1012		283
1001		2944	1043		0
12		3431	1073		187
13		1399	1075		155
14		992	1088		16383
1002		2104	1195		0
1003		2596	1207		0
1004		509	1330		0
1005		2964	1347		0
1006		3492	1347		0
1007		1716	1387		0
1008		1196	1403		0
1009		2552	1435		0
1010		2146	1450		0
1011		800	1487		0
1012		500	1619		0
1013		3048	1619		0
1014		3548	1623		0
1015		1884	1659		0
1016		2356	1683		0
1017		1168	1687		0
1018		2712	1707		0
1019		1500	1747		0
1020		896	1787		0
1021		3640	1915		0
1022		432	1943		0
1023		764	2007		0
1024		1104	2011		0
1025		2196	2019		0
1026		3232	2023		0
1027		2900	2031		0
1028		1848	2039		0
1029		1464	2055		0
1030		2528	2071		0
1031		3604	2191		0
1032		504	2243		0
1033		848	2275		0
1034		1156	2303		0
1035		1516	2307		0
1036		1876	2315		0
1037		3312	2335		0
1038		2224	2339		0
1039		2912	2339		0
1040		2588	2343		0
