1001		2108	1219		0.08
1002		2440	1251		0.14
1003		1752	1275		0.04
1004		3280	1335		-20.24
1005		812	1363		0.02
1006		2880	1391		-48.35
1007		2092	1503		0.06
1008		3612	1527		-0.60
1009		1280	1531		0.02
1010		2544	1567		-0.07
1011		492	1583		0.01
1012		3280	1615		-35.94
1013		892	1655		0.02
1014		1736	1659		0.04
1015		2900	1691		-234.52
1016		3396	1795		-7.10
1017		3668	1851		-0.70
1018		1152	1855		0.02
1019		2584	1855		-0.63
1020		1464	1863		0.03
1021		2268	1863		0.02
1022		2028	1875		0.04
1023		668	1903		0.01
1024		281	1972		0.01
1025		908	1995		0.02
1026		2816	2003		-29.52
1027		3220	2035		-400.42
1028		1804	2047		0.03
1029		612	2107		0.01
1030		3572	2115		-1.93
1031		2480	2123		-0.39
1032		1484	2199		0.02
1033		2188	2199		-0.01
1034		1124	2223		0.02
1035		263	2230		0.01
1036		2960	2247		-31891.53
1037		604	2271		0.01
