1001		575	893		-0.05
1002		1804	1103		0.06
1003		1408	1127		0.04
1004		2216	1127		0.11
1005		365	1139		0.03
1006		960	1159		0.03
1007		3370	1252		-1.97
1008		701	1258		0.02
1009		3684	1359		-0.20
1010		1520	1431		0.03
1011		1148	1451		0.02
1012		2452	1459		0.05
1013		1996	1487		0.06
1014		551	1498		0.02
1015		2900	1563		-30497.21
1016		3392	1575		-3.11
1017		893	1630		0.02
1018		323	1714		0.01
1019		1748	1739		0.04
1020		2672	1827		-3.76
1021		2236	1835		0.02
1022		1260	1859		0.02
1023		3020	1879		-588.04
1024		600	1883		0.01
1025		3376	1891		-6.06
1026		3656	1935		-0.64
1027		896	1947		0.02
1028		1919	1954		0.04
1029		576	2135		0.01
1030		245	2146		0.01
1031		1624	2171		0.03
1032		1244	2195		0.02
1033		2036	2195		0.01
1034		3016	2207		-895.76
1035		2400	2215		-0.36
1036		2688	2215		-9.41
1037		3328	2215		-16.46
1038		3628	2231		-1.09
1039		920	2247		0.02
