1001		2944	1043		-0.20
1002		2104	1195		-0.46
1003		2596	1207		-0.31
1004		509	1330		-72.59
1005		2964	1347		0.07
1006		3492	1347		0.64
1007		1716	1387		-0.88
1008		1196	1403		-2.33
1009		2552	1435		-0.35
1010		2146	1450		-0.54
1011		800	1487		-8.70
1012		500	1619		-85.46
1013		3048	1619		3.49
1014		3548	1623		1.12
1015		1884	1659		-0.78
1016		2356	1683		-0.42
1017		1168	1687		-2.74
1018		2712	1707		-0.03
1019		1500	1747		-1.41
1020		896	1787		-6.32
1021		3640	1915		1.31
1022		432	1943		-320.19
1023		764	2007		-11.46
1024		1104	2011		-3.43
1025		2196	2019		-0.44
1026		3232	2023		293.24
1027		2900	2031		2.35
1028		1848	2039		-0.82
1029		1464	2055		-1.56
1030		2528	2071		0.05
1031		3604	2191		2.41
1032		504	2243		-88.54
1033		848	2275		-8.09
1034		1156	2303		-3.03
1035		1516	2307		-1.38
1036		1876	2315		-0.68
1037		3312	2335		38.44
1038		2224	2339		-0.19
1039		2912	2339		4.93
1040		2588	2343		0.68
